나하, 62, 172
나마, 75, 150
자바, 65, 165
하자, 66, 199
사카, 51, 141
파라, 68, 169
나가, 80, 143
타아, 82, 197
가자, 82, 165
카다, 65, 144
차가, 88, 170
자타, 51, 149
카차, 49, 154
바하, 60, 173
마파, 80, 184
나차, 41, 151
사아, 63, 154
타사, 60, 173
아차, 40, 159
사카, 76, 195
카파, 94, 186
사파, 87, 189
나다, 87, 191
아차, 60, 173
다자, 61, 193
바차, 92, 186
하마, 71, 187
다아, 73, 153
타타, 85, 178
차사, 73, 182
타자, 46, 153
아가, 49, 182
자자, 86, 173
라바, 63, 189
아타, 81, 171
가바, 71, 171
마마, 99, 147
바사, 52, 170
라마, 98, 195
파하, 91, 165
바마, 98, 180
가아, 84, 180
파나, 66, 179
차가, 66, 170
타가, 46, 185
파나, 53, 189
카파, 57, 175
다사, 55, 156
가차, 49, 189
아마, 93, 144
라바, 89, 186
하사, 41, 158
사사, 62, 154
자가, 62, 180
하라, 58, 156
라타, 42, 144
다카, 78, 142
카파, 95, 173
마하, 54, 154
타하, 70, 172
아아, 51, 183
자아, 67, 188
아나, 93, 187
파나, 74, 166
사바, 56, 165
타바, 74, 146
하차, 45, 142
사사, 86, 182
라파, 92, 169
다사, 83, 159
자라, 97, 141
타라, 80, 151
차바, 55, 167
나라, 80, 164
아나, 43, 157
바다, 44, 150
바타, 84, 171
타다, 74, 189
차가, 79, 188
아가, 66, 142
차타, 98, 162
자자, 82, 187
타아, 82, 192
카카, 98, 172
사사, 50, 152
타사, 59, 154
파하, 51, 174
타차, 71, 171
가타, 87, 148
다마, 49, 166
파사, 63, 173
라사, 53, 177
가카, 66, 142
파가, 90, 199
차나, 67, 164
타사, 49, 143
타가, 84, 164
다바, 59, 154
라가, 41, 163
차바, 99, 159
나차, 50, 181
타사, 77, 159
파카, 68, 182
라자, 83, 152
라마, 99, 145
아파, 92, 154
아파, 66, 142
나카, 42, 190
사마, 84, 191
라나, 93, 191
다하, 71, 151
사가, 68, 142
바바, 83, 177
다다, 90, 141
차카, 82, 142
사마, 88, 193
가파, 46, 199
파하, 41, 158
타사, 86, 168
바가, 68, 179
카라, 97, 176
하사, 66, 198
카다, 52, 161
하자, 98, 157
사나, 52, 155
자사, 89, 199
카나, 52, 189
사아, 98, 192
자하, 93, 176
파파, 40, 182
사마, 79, 185
하타, 54, 193
사하, 88, 143
바다, 73, 167
차타, 80, 174
타차, 70, 140
나타, 52, 151
마나, 48, 168
차자, 57, 178
라마, 78, 180
카카, 82, 157
다다, 41, 186
나라, 53, 144
마하, 44, 140
차다, 77, 167
파바, 60, 151
파마, 53, 144
라차, 57, 176
차다, 43, 179
카마, 45, 195
가바, 88, 159
타바, 58, 187
라라, 66, 186
사타, 52, 168
자다, 95, 144
타타, 47, 196
하다, 75, 180
가아, 72, 170
마아, 69, 181
차자, 42, 143
파파, 94, 175
하아, 50, 175
나파, 47, 158
사가, 44, 177
마마, 44, 175
나바, 42, 152
라타, 76, 163
사자, 71, 186
마아, 42, 191
파차, 96, 159
파아, 53, 144
나나, 85, 177
아마, 58, 156
나하, 75, 188
바바, 58, 187
사다, 95, 154
바타, 41, 171
가카, 41, 188
자파, 83, 156
자하, 70, 185
하가, 99, 157
다가, 70, 163
마마, 93, 184
차차, 59, 146
마라, 77, 183
바라, 71, 150
자하, 48, 173
가나, 49, 161
바하, 97, 196
아다, 83, 187
마바, 55, 163
파가, 85, 174
차가, 93, 143
아하, 59, 187
나사, 67, 162
카나, 82, 162
다아, 64, 163
마하, 88, 153
바바, 73, 141
라자, 42, 166
카다, 67, 140
바하, 61, 158
자타, 80, 182
나바, 64, 198
가파, 71, 175
다하, 72, 151
나하, 78, 193
다자, 42, 159
마하, 56, 181
카사, 62, 190
하하, 73, 176
아타, 55, 154
바파, 78, 181
차차, 53, 180
사카, 47, 188
사타, 92, 182
다사, 44, 190
나나, 71, 140
다하, 93, 151
가바, 96, 198
자파, 97, 179
